tableName;tableSequence;abbreviation;correspondance
tmpSuiviBudgetMultiExo;5584;TSBM;T55TSBM84O
tmpTABLETRANSFERT;4563;TMTA;T45TMTA63T
tmpTransferts;1373;TMTR;T13TMTR73S
tmpVirListe;3460;TVLI;T34TVLI60E
TRACE2;1891;TR2TR;T18TR2TR912
TRACE3;4245;TR3TR;T42TR3TR453
up2015pmi;2011;U2PM;U20U2PM11I
up2016;3597;UP20;U35UP20976
UP2017;2238;UP20;U22UP20387
UP2018;3365;UP20;U33UP20658
Z_tmpDelPon;5154;ZTDP;Z51ZTDP54N
z46Article;4575;Z4AR;Z45Z4AR75E
z46Categorie;5892;Z4CA;Z58Z4CA92E
z46Ordonnateur;5081;Z4OR;Z50Z4OR81R
z46Ordonne;3929;Z4OR;Z39Z4OR29E
z46PosteComptable;4999;Z4PC;Z49Z4PC99E
zOrdo;3885;ZORZO;Z38ZORZO85O
ZtmpBesoinsGM;4749;ZBGM;Z47ZBGM49M
ZtmpCadrage;2412;ZTCA;Z24ZTCA12E
ZtmpPC;3035;ZTPC;Z30ZTPC35C
