procedureName;procedureSequence;abbreviation;correspondance
ps_Exec_DepenseCommuneParArticle;2892;dcpa;xx_524_d28dcpa92e
ps_Exec_DepenseCommuneParArticleProcedure;1998;dcpa;xx_524_d19dcpa98e
ps_Exec_DepenseCommuneParArticleTitre;2578;dcpa;xx_524_d25dcpa78e
ps_Exec_DepenseCommuneParTitre;3264;dcpt;xx_524_d32dcpt64e
ps_Exec_DepenseCommuneParTypeProcedure;2901;dcpt;xx_524_d29dcpt01e
ps_Exec_DepenseCommunePlus100Million;3949;dcp1;xx_524_d39dcp149n
ps_Exec_DepenseCommuneSituationDetaille;3197;dcsd;xx_524_d31dcsd97e
ps_Exec_DeplacerPosteComptable;3877;dpco;xx_524_d38dpco77e
ps_Exec_Disponible;2719;disp;xx_524_d27disp19e
ps_Exec_DocumentFind;3736;dofi;xx_524_d37dofi36d
ps_Exec_Dotation_Budgetaire_Par_Categorie_Biens_Services;2129;dbpc;xx_524_d21dbpc29s
ps_Exec_Dotation_Budgetaire_Par_Chapitre_Categorie_Biens_Services;3240;dbpc;xx_524_d32dbpc40s
ps_Exec_Dotation_Budgetaire_Par_NatureEco_Categorie_Biens_Services;2442;dbpn;xx_524_d24dbpn42s
ps_Exec_EmettreCourrierDossier;2501;ecdo;xx_524_e25ecdo01r
ps_Exec_Emission_I;3607;emie;xx_524_e36emie07i
ps_Exec_Engagement_Avec_Contribuable_Budgetaire;2746;eacb;xx_524_e27eacb46e
ps_Exec_EngagementBenef;2167;enbe;xx_524_e21enbe67f
ps_Exec_EngagementPT_Report;3071;epre;xx_524_e30epre71t
ps_Exec_ExceptionArret_G;3124;eage;xx_524_e31eage24g
ps_Exec_ExceptionArret_I;3087;eaie;xx_524_e30eaie87i
ps_Exec_ExceptionArret_R;2430;eare;xx_524_e24eare30r
ps_Exec_Execution_Bip_BudgetChPgAcPj;2396;ebbc;xx_524_e23ebbc96j
ps_Exec_Execution_Bip_JournalProjetCH_IM_PGACPJ_MG;1947;ebjp;xx_524_e19ebjp47g
ps_Exec_ExecutionParChapitre;3808;epch;xx_524_e38epch08e
ps_Exec_Exercice_By_Id;2579;ebid;xx_524_e25ebid79d
ps_Exec_ExerciceExport;2090;exex;xx_524_e20exex90t
ps_Exec_ExerciceList;3289;exli;xx_524_e32exli89t
